variable,TEE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
求和项:value,列标签,,,,,,,,,,,,,,,,,,,
行标签,Agri,Air,Chem,CM,Coal,EII,Elec,Food,Gas,IST,mine,NFM,Oilgas,OM,Paper,Roil,Serv,Tran,(空白),总计
BAU,-0.00016959,-0.000000184,-0.000004245,0.000002536,0.000000592,0.000035123,0.000004755,-0.000012288,-0.000000018,0.000002607,0.000001126,-0.000000448,-0.000000334,-0.000445567,-0.000001951,-0.000000308,-0.000094135,-0.000027816,-0.000705391,-0.001415536
0,-0.00016959,-0.000000184,-0.000004245,0.000002536,0.000000592,0.000035123,0.000004755,-0.000012288,-0.000000018,0.000002607,0.000001126,-0.000000448,-0.000000334,-0.000445567,-0.000001951,-0.000000308,-0.000094135,-0.000027816,-0.000705391,-0.001415536
solabor_ECF,-164.7120762,0.07421111,-0.462352522,-0.935361364,-2.002799954,-8.821589554,-0.400126931,-3.594132983,-0.088858754,-0.558460799,-0.946512391,-0.313090557,-0.104776228,-49.22738,-0.890725131,-0.044863635,-31.68317197,-9.938489412,-275.0506842,-549.7012414
1,-2.16815292,0.000976064,-0.006090339,-0.012309515,-0.026361873,-0.116083532,-0.005264885,-0.047320465,-0.001169886,-0.007348822,-0.012457602,-0.004121776,-0.001380222,-0.64838688,-0.011726185,-0.000591215,-0.417219521,-0.130843474,-3.621117934,-7.236970982
5,-13.53994386,0.006097347,-0.038013249,-0.076889913,-0.164640809,-0.7251602,-0.032903173,-0.295465854,-0.007305951,-0.045908864,-0.077807391,-0.025739158,-0.008617406,-4.047035747,-0.073223352,-0.003690391,-2.605076573,-0.817011446,-22.61123916,-45.18957515
15,-51.47492703,0.023187891,-0.144496243,-0.292317986,-0.625912149,-2.7569192,-0.125068199,-1.123229975,-0.027771831,-0.174532964,-0.295802324,-0.097848054,-0.032750238,-15.38431747,-0.278366882,-0.014023769,-9.902254161,-3.105946101,-85.95836488,-171.7916616
25,-97.52905236,0.043949808,-0.273752691,-0.55384395,-1.185885123,-5.223426622,-0.236890674,-2.128116689,-0.052611086,-0.330670149,-0.560445074,-0.185381569,-0.062028362,-29.14763991,-0.527408712,-0.02655826,-18.75862171,-5.884688391,-162.8599622,-325.4830337
solabor_LST,-46.83099679,0.021090293,-0.131477863,-0.265938505,-0.569444163,-2.508098153,-0.113793452,-1.021936741,-0.025268572,-0.158782981,-0.269112619,-0.089023966,-0.029803396,-13.99776803,-0.253259472,-0.012763124,-9.010024001,-2.825821838,-78.20601683,-156.2982402
1,-0.427848984,0.000192398,-0.001204855,-0.002426273,-0.005199952,-0.022871695,-0.001034803,-0.00934481,-0.0002308,-0.001447617,-0.002456617,-0.000813468,-0.00027255,-0.128265432,-0.0023148,-0.000116879,-0.082381214,-0.025833918,-0.714907068,-1.428779337
5,-3.460656213,0.001558097,-0.009718712,-0.019649674,-0.04207856,-0.185310763,-0.008406448,-0.075524495,-0.001867327,-0.011731561,-0.019885206,-0.006578809,-0.002202858,-1.034674514,-0.018715902,-0.000943513,-0.665897353,-0.208832751,-5.779523013,-11.55063958
15,-14.75112972,0.006642858,-0.041413225,-0.0837682,-0.179368521,-0.79003128,-0.035846599,-0.32189514,-0.007959464,-0.050015752,-0.084767625,-0.028041546,-0.009388145,-4.409017005,-0.079773255,-0.004020428,-2.838090415,-0.890093428,-24.6338235,-49.23180039
25,-28.19136187,0.01269694,-0.079141071,-0.160094358,-0.34279713,-1.509884415,-0.068505602,-0.615172296,-0.015210981,-0.095588051,-0.162003171,-0.053590143,-0.017939843,-8.42581108,-0.152455515,-0.007682304,-5.423655019,-1.701061741,-47.07776325,-94.0870209
